,comment,star,date,,상품링크
100,선물용 딸아이 구매 딱 좋은핏이에요 좋아요 패밀리룩으로 입기좋을것같아여 많이파세영,5,22.06.25.,,
101,무난해서 막입기 좋아요!,5,22.07.11.,,
102,너무 이뻐요 퍈하게입기좋아요,5,22.07.03.,,
103,잘 받았습니다 좋습니다,5,22.07.13.,,
104,기존에 다른 컬러로 구매했던거라 면이 약간 다른거 같습니다,4,22.07.08.,,
105,M사이즈가 95보다는 조금 큰듯하네요...,4,22.07.13.,,
106,기본템으로 좋아요 배송도 빠릅니다!,5,22.07.03.,,
107,일반 사이즈보단 슬림하네요~ 얇아서 많이 비칩니다~,5,22.07.03.,,
108,M사이즈가 95보단 조금 큰듯하네요. .,4,22.07.13.,,
109,색감이 괜찮네요....,5,22.07.14.,,
110,브이넥 핏 좋아요 ~~~,5,22.07.13.,,
111,남자친구랑 커플티로 했어요! 어깨 넓고 키 크면 XL가 딱이더라구여! 여자는 크게 입고싶으면 M 기장이 긴거 빼곤 좋아요!,5,22.06.22.,,
112,"너무 큰거 샀네요 천 좋아요
배송도 빠르고요",4,22.07.02.,,
113,남자친구랑 커플티로 했어요! 어깨 넓고 키 크면 XL가 딱이더라구여! 여자는 크게 입고싶으면 M 기장이 긴거 빼곤 좋아요!😄,5,22.06.22.,,
114,면도 부드럽고 오버핏으로 입기 딱 좋아요! 남편도 너무 마음에 들어하네요!,5,22.06.25.,,
115,제품좋아요 감사합니다 사장님ㅎ,5,22.07.05.,,
116,제품좋아요 만족합니다 사장님ㅎ,5,22.07.05.,,
117,"생일인 친구에게 커플티를 선물했어요~
너무 핏하게 맞는걸 안 좋아하는 친군데
적당히 크고 편하다고 좋아하네요~
조만간 저두 한장 사려구요^^",5,22.06.19.,,
118,"배송도 빠르고 저렴하게 구매할 수 있어 좋았습니다. 
여름에 편하게 입을수 있는 티셔츠 감사합니다.",5,22.07.14.,,
119,예뻐요! 잘 입겠습니다! 좀 얇기는해요!,5,22.07.04.,,
120,정품이어서 좋고 이뻐서 만족합니다 !,5,22.06.28.,,
121,"잘 입고 다닙니다.
흰색 티셔츠 여러벌보다 폴로 하나가 나아요ㅎㅎ",5,22.07.06.,,
122,잘입고있어요 좋아요,5,22.07.12.,,
123,잘입고 있어요 좋아요,5,22.07.12.,,
124,편하게 있을듯합니다,4,22.07.12.,,
125,"사이즈 딱맞고 배송도 엄청 빨라요
사진과 동일합니다",5,22.07.06.,,
126,티셔츠 면도 부드럽고 깔끔한 스탈이라 좋아용,5,22.07.04.,,
127,가볍고 좋습니다 부담없이 착용가능,4,22.07.06.,,
128,배송도 빠르고 좋아요~ 잘 입고 있어요,5,22.07.02.,,
129,한철입을정도네요....,5,22.07.14.,,
130,편하게 잘 입고 있는 폴로 좋아요,5,22.07.06.,,
131,"옷도 얇아서 딱 좋고, 핏도 적당하니 좋습니다. 무엇보다 예뻐서 편하게 입어도 깔끔해 보여서 좋아요!",5,22.06.17.,,
132,이뻐요 색감도 로고두,5,22.07.03.,,
133,"맘에 들어서 재구매 입니다~
편하고 싸이즈도 딱좋으네요^^",5,22.06.30.,,
134,한걸음 넘게입을각.....,5,22.07.14.,,
135,항상애용하는 폴로반팔점입니다,5,22.07.08.,,
136,"이뻐요
커플티로 맞췄는데 딱이에요 
저는 s 남친은 l입니다",5,22.07.02.,,
137,잘 샀어요 편하게 잘 입고댕리,5,22.07.04.,,
138,"원래입던건데 오래입어서 다시 샀어요.
깔끔하고 예뻐요",5,22.06.28.,,
139,"생각보다 사이즈가 크구여 
한번 빨래하면 목이 걍 늘어나요..
정품이 맞는건지 의심이 드는 퀄리티입니다.
세탁후에는 잘 못입고 그냥 잠옷으로 입어야되는 티가 되었어요 목 엄청 늘어나요",1,22.07.02.,,
140,"엄마랑 커플티로 잘입고있오요~~~
기장이 좀 길긴해서 넣어입어야 이쁜것같아요~",5,22.06.24.,,
141,"친구 생일선물로 커플티를 줬어요~
이제 둘이 부부라서 커플티를 주는게 오지랖은 아닌 느낌..? 둘다 너무 좋아해서 뿌듯했습니다^^",5,22.06.19.,,
142,여름에입기좋은거같아요 얇고! 근데 얇아서 목이 좀 금방 헐렁해질거같은느낌!? 아닐수도있지만 느낌이 그러네요! 그래도 이쁘네요 배송도빠르고 잘입을게요^^,5,22.07.04.,,
143,"빨았더니 좀 늘어난거 같아요
그외 옷감도 좋고 만족여",4,22.06.26.,,
144,"커플티로 구입했는데 와이프가 좋아하네요
깔끔하고 색상이 그레이보다 살짝 밝아요
164에 50이 S사이즈 입으니 적당히 헐렁하고 좋네요",5,22.06.16.,,
145,완전 편하고 좋아요ㅠ 제가 딱원하는 슬림한데 적당한핏? 예뻐용,5,22.07.09.,,
146,"듄탄제품은 문제가있는것같습니다
한번 교환받았는데요
두번째 세탁후 박음질 소매 밑부분
전부다 터짐",3,22.07.09.,,
147,두장 주문하고 또 두자오더 구입이요,5,22.07.07.,,
148,원단이 괜찮아요  이뻐용,5,22.07.03.,,
149,이쁘고 편해요 기본이라 유행도 안타구영,5,22.07.15.,,
150,역시 폴로 핏 이삐구 면좋구 굿,5,22.07.07.,,
151,남자친구랑 커플로 맞췄는데 너어어무 예쁘더라구용 ! 찰떡 💙💙 파란색이 쨍하고 요즘같은 날씨에도 딱이였어용 ~!,5,22.05.30.,,
152,색이 예뻐서 구매했어요. 재질 좋고 핏도 괜찮습니다,5,22.06.18.,,
153,색상도 그렇고 너무 예뻐요 잘산,5,22.07.04.,,
154,이쁘고 정품이라 만족합니다,5,22.06.28.,,
