,comment,star,date,,상품 링크
73,"사진으로 보이는것보단 널널해요. 사이즈고민 엄청 했어요
미듐밖에 없어 미듐했다가 취소하고 고민하던 차에 라지 입고되어 구매했어요. 사이즈 넘 고민했는데.. 키 160 몸무게55. 출산한지 얼마안되어서 미듐은 지금입음 등살이 신경쓰였을 것 같기도..ㅋㅋ걱정했던 목도 좁지않네요.",5,22.06.06.,,
74,"이쁜데, 155 이상 여성 분들은 M사이즈 입으면 많이 짧을 거 같아요",5,22.06.11.,,
75,색깔  이쁘고 사이즈 잘 맞네요. 170 에 체격이 있는편인데 넉넉하게  맞네요. 한사이즈 작게 했어도 좋았을듯요. 참고하세요. 여름내내  잘  입겠어요,5,22.06.17.,,
76,"재질도  얇고  부드러워서  잘입을것같아요
색도  맘에들어요ㅔ",5,22.06.30.,,
77,기본으로 입기에 편하고 아주 좋아요 목부분이 약한거같아서 세탁 주의해야할것같네요,5,22.06.17.,,
78,남자친구한테 선물로 줬는데 남자친구는 근육형 몸 105 정도를 입어요 근데 입었을때 핏이 좋았어요!!,5,22.07.11.,,
79,막입기 좋아요.......,3,22.07.10.,,
80,넉넉하게 입으려고 L 사이즈 선택했는데 오버핏으로 입기 좋아요. 천도 탄탄해 보여요.,5,22.07.11.,,
81,170에 63인데 라지사이즈가 딱이에요!! 어깨도 잘 맞고 길이도 이 정도면 넣어입으면 될 것 같아서 너무 좋아요!! 170에 66사이즈 이신분들은 무조건 라지 추천합니다!!,5,22.06.11.,,
82,170 에  체격이  있는편인데 딱좋아요. 여름엔 흰티에 청바지죠. 너무 맘에들어요. 고맙습니다,5,22.06.17.,,
83,좋아요 완전 이쁘고 정사이즈규 해외배송인데도 짤리 왔어요~,5,22.06.22.,,
84,"넘  허연 내이비 아니고 또렸한 네이비 색이예요
청바지에도 괜찮고 환한색 하의에도 이뻐요
색이 또렷해서 더워보이지 않고 괜찮아요",4,22.06.15.,,
85,면질도 좋고 희색티로 딱이예요~ 활용도가 좋아요!!^^,5,22.07.14.,,
86,배송 타이밍이 잘맞았는지 빠르게 받았어요! 사이즈 걱정했는데 잘맞을거같아요 감사합니다!,4,22.06.16.,,
87,"쨍-한 오렌지색 예뻐요 
놀러갈때 입을려고 구입했는데 
쨍-해서 사진찍을때 예쁠꺼같아요 :) 
사이즈는 XL 주문했는데 평소 55입는 저는 오버핏으로 맞아요",5,22.06.09.,,
88,배송 빠르고 좋아요 ㅎㅎ 잘 입고 있습니당,5,22.06.25.,,
89,배송 빠르고 좋아요 ㅎㅎ 잘 입고 있습니당,5,22.06.25.,,
90,"색감도 예쁘고, 핏도 딱 원하는 핏이예요",4,22.07.02.,,
91,잘입을께요~~~~~,5,22.07.11.,,
92,배송빠르도 좋아요 옷이 이쁩니다!!,5,22.06.22.,,
93,부드럽고 사이즈도 딱이에요,5,22.07.03.,,
94,여자 164 보통 체형인데 L 사이즈 시키니까 딱 좋아요~ 붙는 걸 싫어해서 적당히 캐주얼하게 입을 수 있을거 같아요! 그리고 목도 그렇게 늘어날것 같지 않게 생겨서 좋습니다~ 몇번 세탁해보고 괜찮으면 더 구매할예정입니다. 배송은 한 4일걸린거 같아요~,5,22.06.24.,,
95,천이 좀 얇고 사이즈 xL은 시켜야 기본 L정도 되는 것 같고 목부분 튼튼하지 않아서 금방 늘어날 것 같아요. 기장이 좀 긴 편입니다,4,22.06.14.,,
96,"딱 무난한 면 티 !
담번엔 한사이즈 작게 사려구요ㅠ",5,22.07.01.,,
97,좋아하는색 넘시원해보이고  좋네요,5,22.06.28.,,
98,면 질도 좋고 품도 잘 맞아요~  다른 색도 더 사고싶어요^^,5,22.07.14.,,
99,잘입고 있습니다!! 최고,4,22.07.05.,,
100,"엄청 이뻐요~!!!
배송도 빠르고 좋습니다
또 구매 할게용~!",5,22.07.15.,,
101,완전 이뻐요 배송도 빠르고 좋았어요~~,5,22.06.22.,,
102,"배송정말빠르고 좋은가격에 잘샀어요
생각보다컬러가 연하긴하지만 괜찮아요.다른컬러구매또할께요^^",5,22.06.12.,,
103,"6섯번째재구매
라임컬러너무이뻐요
싸이즈잇을때사야됨!!소장각",5,22.07.09.,,
104,44사이즈에겐 적당한 핏이고 살짝 낙낙해서 편해요. 근데 화면사진처럼 연보라는 아니라서 좀 아쉽네요.,4,22.06.15.,,
105,164/48 엠사이즈 주문했는데 딱 좋아요~,5,22.06.30.,,
106,164/48 엠사이즈 주문했는데 딱 좋아요~,5,22.06.30.,,
