,comment,star,date,,상품 링크
197,"온라인으로 폴로 구매 첫 성공이에요.
로고 모양이 의심이 간다든지 너무 얇다든지등등 온라인 구매는 미심쩍은 게 많았어요.
항상 직접 보고 입어보고 구매하는 성향인지라 이번에도 반품 각오하고 구매했는데,
여기는
만족도 100프로예요. 다른 색깔 구매하러 또 클릭합니다~!",5,22.04.11.,,
198,너무좋습니다 오버핏하게 딱잘맞아요 튼튼합,5,22.05.07.,,
199,"정사이즈 핏입니다 
옷감 매우 좋아요",4,22.05.06.,,
200,예뻐요~!~!~~~~~~~~~~~~~~~~~~~!!!!!!,5,22.05.01.,,
201,배송도 빠르고 넘좋아요,5,22.04.17.,,
202,빠른배송으로 잘 받았습니다,5,22.04.18.,,
203,배송도 빠르고 상품도 넘 좋아요,5,22.05.07.,,
204,재질도 좋구 잘구매한거같습니다,5,22.04.07.,,
205,배송도 빠르고 상품도 좋아요,5,22.05.07.,,
206,배송도빠르고 마음에들어요,5,22.04.07.,,
207,휘뚜루마뚜루 입기 좋아요,4,22.05.08.,,
208,이번 여름에 입을 생각에 너무 흥분됩니다,5,22.05.06.,,
209,배송도 빠르고 잘구매한거같습니다,5,22.04.07.,,
210,163 54 사이즈 고민 많이 했는데 만족입니다,5,22.04.13.,,
211,배송빠르고 탄탄해요,5,22.05.07.,,
212,"약간 잘 늘어나는 재질이라 조심하게되네요 ㅎ
디자인은 역시 이뻐요",4,22.04.23.,,
213,크게 입으려고 했는데 라인이 있을 줄 몰랐어요ㅠㅠ,5,22.05.02.,,
214,"배송은 나흘정도 걸렸습니다
포장 및 제품 만족합니다
사이즈는 M사이즈 입는분이면 적당한 사이즈
나올꺼같습니다
촉감이 부들부들해서 만족합니다
감사합니다",5,22.03.22.,,
215,"인터넷으로 사는거라 사이즈때문에 걱정했는데
95사이즈 종사이즈인거 같아요
원단도 괜찮고 더 구매할 생각입니다",5,22.04.20.,,
216,"와이프랑 커플티로 구매했습니다
평소 55사이즈입는데 잘 맞습니다
기장이 조금 길다고하는데
크게 문제없는거같습니다
촉감이 부들부들해서 만족한다고합니다
감사합니다",5,22.03.22.,,
217,"좋아요 깔끔하고
흰색이 예뻐요",5,22.04.26.,,
218,좋은제품감사합니다 고맙습니다 감사합니다,5,22.05.03.,,
219,편하게 잘 입을거 같아요,4,22.05.02.,,
220,"가장 기본적인 색상이랑 디자인이라 잘입고있어요
다만 잘 늘어나는 재질이라 조심하게되요",4,22.04.23.,,
221,배송도 빠르고 넘좋아요,5,22.04.17.,,
222,빠른배송으로 잘 받았습니다,5,22.04.18.,,
223,배송도 빠르고 상품도 넘 좋아요,5,22.05.07.,,
224,재질도 좋구 잘구매한거같습니다,5,22.04.07.,,
225,배송도 빠르고 상품도 좋아요,5,22.05.07.,,
226,배송도빠르고 마음에들어요,5,22.04.07.,,
227,휘뚜루마뚜루 입기 좋아요,4,22.05.08.,,
